Cod_Identificacao;Municipio;PIB;;
2506806;Ingá (PB);89373;;
2506905;Itabaiana (PB);132521;;
2507002;Itaporanga (PB);139308;;
2507101;Itapororoca (PB);89743;;
2507200;Itatuba (PB);52714;;
2507309;Jacaraú (PB);68711;;
2507408;Jericó (PB);36982;;
2507507;João Pessoa (PB);10843958;;
2507606;Juarez Távora (PB);30034;;
2507705;Juazeirinho (PB);83282;;
2507804;Junco do Seridó (PB);33931;;
2507903;Juripiranga (PB);52433;;
2508000;Juru (PB);40727;;
2508109;Lagoa (PB);20119;;
2508208;Lagoa de Dentro (PB);36015;;
2508307;Lagoa Seca (PB);137899;;
2508406;Lastro (PB);14766;;
2508505;Livramento (PB);29450;;
2508554;Logradouro (PB);17231;;
2508604;Lucena (PB);75428;;
2508703;Mãe d'Água (PB);17733;;
2508802;Malta (PB);25476;;
2508901;Mamanguape (PB);305037;;
2509008;Manaíra (PB);40114;;
2509057;Marcação (PB);36151;;
2509107;Mari (PB);97952;;
2509156;Marizópolis (PB);26253;;
2509206;Massaranduba (PB);58062;;
2509305;Mataraca (PB);112970;;
2509339;Matinhas (PB);34193;;
2509370;Mato Grosso (PB);12760;;
2509396;Maturéia (PB);27159;;
2509404;Mogeiro (PB);62629;;
2509503;Montadas (PB);21338;;
2509602;Monte Horebe (PB);19956;;
2509701;Monteiro (PB);188005;;
2509800;Mulungu (PB);42074;;
2509909;Natuba (PB);41947;;
2510006;Nazarezinho (PB);32069;;
2510105;Nova Floresta (PB);48015;;
2510204;Nova Olinda (PB);26508;;
2510303;Nova Palmeira (PB);21237;;
2510402;Olho d'Água (PB);30241;;
2510501;Olivedos (PB);17407;;
2510600;Ouro Velho (PB);16588;;
2510659;Parari (PB);9542;;
2510709;Passagem (PB);13582;;
2510808;Patos (PB);830949;;
2510907;Paulista (PB);60420;;
2511004;Pedra Branca (PB);17507;;
2511103;Pedra Lavrada (PB);42528;;
2511202;Pedras de Fogo (PB);291087;;
2511301;Piancó (PB);88580;;
2511400;Picuí (PB);91320;;
2511509;Pilar (PB);45587;;
2511608;Pilões (PB);40437;;
2511707;Pilõezinhos (PB);26877;;
2511806;Pirpirituba (PB);44862;;
2511905;Pitimbu (PB);86451;;
2512002;Pocinhos (PB);114911;;
2512036;Poço Dantas (PB);16543;;
2512077;Poço de José de Moura (PB);20656;;
2512101;Pombal (PB);202177;;
2512200;Prata (PB);24435;;
2512309;Princesa Isabel (PB);97350;;
2512408;Puxinanã (PB);60109;;
2512507;Queimadas (PB);223697;;
2512606;Quixaba (PB);9675;;
2512705;Remígio (PB);89273;;
2512721;Pedro Régis (PB);28273;;
2512747;Riachão (PB);15786;;
2512754;Riachão do Bacamarte (PB);21174;;
2512762;Riachão do Poço (PB);20926;;
2512788;Riacho de Santo Antônio (PB);11058;;
2512804;Riacho dos Cavalos (PB);35865;;
2512903;Rio Tinto (PB);145583;;
2513000;Salgadinho (PB);14435;;
2513109;Salgado de São Félix (PB);46565;;
2513158;Santa Cecília (PB);28895;;
2513208;Santa Cruz (PB);33674;;
2513307;Santa Helena (PB);26380;;
2513356;Santa Inês (PB);15384;;
2513406;Santa Luzia (PB);93713;;
2513505;Santana de Mangueira (PB);24321;;
2513604;Santana dos Garrotes (PB);35464;;
2513653;Joca Claudino (PB);12553;;
2513703;Santa Rita (PB);1244883;;
2513802;Santa Teresinha (PB);25196;;
2513851;Santo André (PB);14186;;
2513901;São Bento (PB);201309;;
2513927;São Bentinho (PB);20184;;
2513943;São Domingos do Cariri (PB);11910;;
2513968;São Domingos (PB);14802;;
2513984;São Francisco (PB);16985;;
2514008;São João do Cariri (PB);25425;;
2514107;São João do Tigre (PB);19071;;
2514206;São José da Lagoa Tapada (PB);35064;;
2514305;São José de Caiana (PB);24334;;
2514404;São José de Espinharas (PB);27174;;
2514453;São José dos Ramos (PB);20796;;
2514503;São José de Piranhas (PB);108571;;
2514552;São José de Princesa (PB);18176;;
2514602;São José do Bonfim (PB);13606;;
2514651;São José do Brejo do Cruz (PB);10487;;
2514701;São José do Sabugi (PB);21158;;
2514800;São José dos Cordeiros (PB);16499;;
2514909;São Mamede (PB);41262;;
2515005;São Miguel de Taipu (PB);31561;;
2515104;São Sebastião de Lagoa de Roça (PB);47436;;
2515203;São Sebastião do Umbuzeiro (PB);15686;;
2515302;Sapé (PB);269812;;
2515401;São Vicente do Seridó (PB);39042;;
2515500;Serra Branca (PB);69640;;
2515609;Serra da Raiz (PB);15798;;
2515708;Serra Grande (PB);23321;;
2515807;Serra Redonda (PB);36970;;
2515906;Serraria (PB);42196;;
2515930;Sertãozinho (PB);23943;;
2515971;Sobrado (PB);39397;;
2516003;Solânea (PB);128427;;
2516102;Soledade (PB);90157;;
2516151;Sossêgo (PB);16318;;
2516201;Sousa (PB);549347;;
2516300;Sumé (PB);83976;;
2516409;Tacima (PB);41184;;
2516508;Taperoá (PB);67971;;
2516607;Tavares (PB);62986;;
2516706;Teixeira (PB);73317;;
2516755;Tenório (PB);15733;;
2516805;Triunfo (PB);42002;;
2516904;Uiraúna (PB);83299;;
2517001;Umbuzeiro (PB);41517;;
2517100;Várzea (PB);16486;;
2517209;Vieirópolis (PB);20802;;
2517407;Zabelê (PB);10148;;
2600054;Abreu e Lima (PE);853291;;
2600104;Afogados da Ingazeira (PE);191904;;
2600203;Afrânio (PE);82805;;
2600302;Agrestina (PE);115743;;
2600401;Água Preta (PE);141819;;
2600500;Águas Belas (PE);168444;;
2600609;Alagoinha (PE);73735;;
2600708;Aliança (PE);200480;;
2600807;Altinho (PE);88401;;
2600906;Amaraji (PE);124547;;
2601003;Angelim (PE);47342;;
2601052;Araçoiaba (PE);67748;;
2601102;Araripina (PE);462791;;
2601201;Arcoverde (PE);447133;;
2601300;Barra de Guabiraba (PE);55069;;
2601409;Barreiros (PE);206234;;
2601508;Belém de Maria (PE);48905;;
2601607;Belém do São Francisco (PE);99820;;
2601706;Belo Jardim (PE);811692;;
2601805;Betânia (PE);46227;;
2601904;Bezerros (PE);381017;;
2602001;Bodocó (PE);144323;;
2602100;Bom Conselho (PE);249367;;
2602209;Bom Jardim (PE);177434;;
2602308;Bonito (PE);219701;;
2602407;Brejão (PE);51371;;
2602506;Brejinho (PE);28450;;
2602605;Brejo da Madre de Deus (PE);179427;;
2602704;Buenos Aires (PE);61594;;
2602803;Buíque (PE);223750;;
2602902;Cabo de Santo Agostinho (PE);4422989;;
2603009;Cabrobó (PE);209180;;
2603108;Cachoeirinha (PE);118080;;
2603207;Caetés (PE);93503;;
2603306;Calçado (PE);51404;;
2603405;Calumbi (PE);24535;;
2603454;Camaragibe (PE);816857;;
2603504;Camocim de São Félix (PE);86057;;
2603603;Camutanga (PE);153563;;
2603702;Canhotinho (PE);98519;;
2603801;Capoeiras (PE);99091;;
2603900;Carnaíba (PE);75909;;
2603926;Carnaubeira da Penha (PE);47155;;
2604007;Carpina (PE);711552;;
2604106;Caruaru (PE);3417378;;
2604155;Casinhas (PE);63527;;
2604205;Catende (PE);213141;;
2604304;Cedro (PE);40678;;
2604403;Chã de Alegria (PE);58386;;
2604502;Chã Grande (PE);122339;;
2604601;Condado (PE);116037;;
2604700;Correntes (PE);75904;;
2604809;Cortês (PE);113094;;
2604908;Cumaru (PE);86152;;
2605004;Cupira (PE);128803;;
2605103;Custódia (PE);232834;;
2605152;Dormentes (PE);94863;;
2605202;Escada (PE);499040;;
2605301;Exu (PE);141179;;
2605400;Feira Nova (PE);80527;;
2605459;Fernando de Noronha (PE);57331;;
2605509;Ferreiros (PE);74248;;
2605608;Flores (PE);83016;;
2605707;Floresta (PE);248290;;
2605806;Frei Miguelinho (PE);55435;;
2605905;Gameleira (PE);114988;;
2606002;Garanhuns (PE);1201193;;
2606101;Glória do Goitá (PE);123207;;
2606200;Goiana (PE);901542;;
2606309;Granito (PE);33838;;
2606408;Gravatá (PE);548708;;
2606507;Iati (PE);72340;;
2606606;Ibimirim (PE);156426;;
2606705;Ibirajuba (PE);35655;;
2606804;Igarassu (PE);1244019;;
2606903;Iguaracy (PE);44467;;
2607000;Inajá (PE);81520;;
2607109;Ingazeira (PE);21277;;
2607208;Ipojuca (PE);5404486;;
2607307;Ipubi (PE);131970;;
2607406;Itacuruba (PE);30961;;
2607505;Itaíba (PE);137037;;
2607604;Ilha de Itamaracá (PE);108150;;
2607653;Itambé (PE);214506;;
2607703;Itapetim (PE);54543;;
2607752;Itapissuma (PE);464780;;
2607802;Itaquitinga (PE);144367;;
2607901;Jaboatão dos Guararapes (PE);7586200;;
2607950;Jaqueira (PE);56164;;
2608008;Jataúba (PE);69387;;
2608057;Jatobá (PE);62557;;
2608107;João Alfredo (PE);129161;;
2608206;Joaquim Nabuco (PE);118083;;
2608255;Jucati (PE);47854;;
2608305;Jupi (PE);64570;;
2608404;Jurema (PE);63128;;
2608453;Lagoa do Carro (PE);81573;;
2608503;Lagoa de Itaenga (PE);205505;;
2608602;Lagoa do Ouro (PE);48887;;
2608701;Lagoa dos Gatos (PE);61841;;
2608750;Lagoa Grande (PE);181352;;
2608800;Lajedo (PE);191951;;
2608909;Limoeiro (PE);351643;;
2609006;Macaparana (PE);127859;;
2609105;Machados (PE);81179;;
2609154;Manari (PE);67476;;
2609204;Maraial (PE);82832;;
2609303;Mirandiba (PE);68526;;
2609402;Moreno (PE);342814;;
2609501;Nazaré da Mata (PE);236000;;
2609600;Olinda (PE);3479823;;
2609709;Orobó (PE);126101;;
2609808;Orocó (PE);112159;;
2609907;Ouricuri (PE);302985;;
2610004;Palmares (PE);484107;;
2610103;Palmeirina (PE);36329;;
2610202;Panelas (PE);103495;;
2610301;Paranatama (PE);48323;;
2610400;Parnamirim (PE);103284;;
2610509;Passira (PE);124260;;
2610608;Paudalho (PE);310726;;
2610707;Paulista (PE);2155696;;
2610806;Pedra (PE);104870;;
2610905;Pesqueira (PE);353864;;
2611002;Petrolândia (PE);932345;;
2611101;Petrolina (PE);3434155;;
2611200;Poção (PE);50005;;
2611309;Pombos (PE);161601;;
2611408;Primavera (PE);131399;;
2611507;Quipapá (PE);150189;;
2611533;Quixaba (PE);25990;;
2611606;Recife (PE);33369681;;
2611705;Riacho das Almas (PE);95539;;
2611804;Ribeirão (PE);265945;;
2611903;Rio Formoso (PE);185176;;
2612000;Sairé (PE);95253;;
2612109;Salgadinho (PE);37427;;
2612208;Salgueiro (PE);858894;;
2612307;Saloá (PE);65963;;
2612406;Sanharó (PE);102757;;
2612455;Santa Cruz (PE);53712;;
2612471;Santa Cruz da Baixa Verde (PE);42446;;
2612505;Santa Cruz do Capibaribe (PE);727015;;
2612554;Santa Filomena (PE);49851;;
2612604;Santa Maria da Boa Vista (PE);285502;;
2612703;Santa Maria do Cambucá (PE);55950;;
2612802;Santa Terezinha (PE);37797;;
2612901;São Benedito do Sul (PE);50215;;
2613008;São Bento do Una (PE);348342;;
2613107;São Caitano (PE);167385;;
2613206;São João (PE);97079;;
2613305;São Joaquim do Monte (PE);121436;;
2613404;São José da Coroa Grande (PE);93313;;
2613503;São José do Belmonte (PE);143041;;
2613602;São José do Egito (PE);162589;;
2613701;São Lourenço da Mata (PE);553856;;
2613800;São Vicente Férrer (PE);98702;;
2613909;Serra Talhada (PE);746908;;
2614006;Serrita (PE);73744;;
2614105;Sertânia (PE);201493;;
2614204;Sirinhaém (PE);358797;;
2614303;Moreilândia (PE);48480;;
2614402;Solidão (PE);25159;;
2614501;Surubim (PE);398380;;
2614600;Tabira (PE);113400;;
2614709;Tacaimbó (PE);54311;;
2614808;Tacaratu (PE);79676;;
2614857;Tamandaré (PE);159827;;
2615003;Taquaritinga do Norte (PE);119355;;
2615102;Terezinha (PE);31545;;
2615201;Terra Nova (PE);38700;;
2615300;Timbaúba (PE);471339;;
2615409;Toritama (PE);282076;;
2615508;Tracunhaém (PE);79874;;
2615607;Trindade (PE);157479;;
2615706;Triunfo (PE);66198;;
2615805;Tupanatinga (PE);98192;;
2615904;Tuparetama (PE);38870;;
2616001;Venturosa (PE);79376;;
2616100;Verdejante (PE);37419;;
2616183;Vertente do Lério (PE);52062;;
2616209;Vertentes (PE);80661;;
2616308;Vicência (PE);214258;;
2616407;Vitória de Santo Antão (PE);1461947;;
2616506;Xexéu (PE);65972;;
2700102;Água Branca (AL);73774;;
2700201;Anadia (AL);85608;;
2700300;Arapiraca (AL);1908879;;
2700409;Atalaia (AL);290761;;
2700508;Barra de Santo Antônio (AL);74793;;
2700607;Barra de São Miguel (AL);67809;;
2700706;Batalha (AL);68777;;
2700805;Belém (AL);24114;;
2700904;Belo Monte (AL);37167;;
2701001;Boca da Mata (AL);197707;;
2701100;Branquinha (AL);65198;;
2701209;Cacimbinhas (AL);41937;;
2701308;Cajueiro (AL);95208;;
2701357;Campestre (AL);32257;;
2701407;Campo Alegre (AL);245301;;
2701506;Campo Grande (AL);36075;;
2701605;Canapi (AL);61549;;
2701704;Capela (AL);113002;;
2701803;Carneiros (AL);27884;;
2701902;Chã Preta (AL);40622;;
2702009;Coité do Nóia (AL);44894;;
2702108;Colônia Leopoldina (AL);150666;;
2702207;Coqueiro Seco (AL);25725;;
2702306;Coruripe (AL);703927;;
2702355;Craíbas (AL);105616;;
2702405;Delmiro Gouveia (AL);343733;;
2702504;Dois Riachos (AL);38292;;
2702553;Estrela de Alagoas (AL);57879;;
2702603;Feira Grande (AL);95294;;
2702702;Feliz Deserto (AL);67862;;
2702801;Flexeiras (AL);64962;;
2702900;Girau do Ponciano (AL);161139;;
2703007;Ibateguara (AL);76484;;
2703106;Igaci (AL);104989;;
2703205;Igreja Nova (AL);175263;;
2703304;Inhapi (AL);61240;;
2703403;Jacaré dos Homens (AL);29607;;
2703502;Jacuípe (AL);45266;;
2703601;Japaratinga (AL);45971;;
2703700;Jaramataia (AL);24916;;
2703759;Jequiá da Praia (AL);149850;;
2703809;Joaquim Gomes (AL);94887;;
2703908;Jundiá (AL);28731;;
2704005;Junqueiro (AL);138333;;
2704104;Lagoa da Canoa (AL);93839;;
2704203;Limoeiro de Anadia (AL);97824;;
2704302;Maceió (AL);12369801;;
2704401;Major Isidoro (AL);86987;;
2704500;Maragogi (AL);200032;;
2704609;Maravilha (AL);38620;;
2704708;Marechal Deodoro (AL);911886;;
2704807;Maribondo (AL);63900;;
2704906;Mar Vermelho (AL);16898;;
2705002;Mata Grande (AL);88104;;
2705101;Matriz de Camaragibe (AL);129057;;
2705200;Messias (AL);86801;;
2705309;Minador do Negrão (AL);25264;;
2705408;Monteirópolis (AL);25581;;
2705507;Murici (AL);141080;;
2705606;Novo Lino (AL);97161;;
2705705;Olho d'Água das Flores (AL);95979;;
2705804;Olho d'Água do Casado (AL);36511;;
2705903;Olho d'Água Grande (AL);20490;;
2706000;Olivença (AL);42145;;
2706109;Ouro Branco (AL);38129;;
2706208;Palestina (AL);18560;;
2706307;Palmeira dos Índios (AL);444152;;
2706406;Pão de Açúcar (AL);94900;;
2706422;Pariconha (AL);37587;;
2706448;Paripueira (AL);72526;;
2706505;Passo de Camaragibe (AL);92127;;
2706604;Paulo Jacinto (AL);25724;;
2706703;Penedo (AL);402529;;
2706802;Piaçabuçu (AL);106139;;
2706901;Pilar (AL);323190;;
2707008;Pindoba (AL);17589;;
2707107;Piranhas (AL);86372;;
2707206;Poço das Trincheiras (AL);43694;;
2707305;Porto Calvo (AL);171182;;
2707404;Porto de Pedras (AL);48017;;
2707503;Porto Real do Colégio (AL);92404;;
2707602;Quebrangulo (AL);48974;;
2707701;Rio Largo (AL);489700;;
2707800;Roteiro (AL);57955;;
2707909;Santa Luzia do Norte (AL);46699;;
2708006;Santana do Ipanema (AL);246216;;
2708105;Santana do Mundaú (AL);198730;;
2708204;São Brás (AL);28069;;
2708303;São José da Laje (AL);199791;;
2708402;São José da Tapera (AL);105921;;
2708501;São Luís do Quitunde (AL);264999;;
2708600;São Miguel dos Campos (AL);892341;;
2708709;São Miguel dos Milagres (AL);46505;;
2708808;São Sebastião (AL);180023;;
2708907;Satuba (AL);77910;;
2708956;Senador Rui Palmeira (AL);41213;;
2709004;Tanque d'Arca (AL);23529;;
2709103;Taquarana (AL);93919;;
2709152;Teotônio Vilela (AL);247037;;
2709202;Traipu (AL);84300;;
2709301;União dos Palmares (AL);437457;;
2709400;Viçosa (AL);115018;;
2800100;Amparo de São Francisco (SE);15253;;
2800209;Aquidabã (SE);124432;;
2800308;Aracaju (SE);9603945;;
2800407;Arauá (SE);76205;;
2800506;Areia Branca (SE);113431;;
2800605;Barra dos Coqueiros (SE);298387;;
2800670;Boquim (SE);183937;;
2800704;Brejo Grande (SE);51977;;
2801009;Campo do Brito (SE);107684;;
2801108;Canhoba (SE);26214;;
2801207;Canindé de São Francisco (SE);1709831;;
2801306;Capela (SE);247025;;
2801405;Carira (SE);202939;;
2801504;Carmópolis (SE);556044;;
2801603;Cedro de São João (SE);29647;;
2801702;Cristinápolis (SE);120218;;
2801900;Cumbe (SE);23624;;
2802007;Divina Pastora (SE);175757;;
2802106;Estância (SE);1108185;;
2802205;Feira Nova (SE);32038;;
2802304;Frei Paulo (SE);237702;;
2802403;Gararu (SE);62029;;
2802502;General Maynard (SE);17631;;
2802601;Gracho Cardoso (SE);44062;;
2802700;Ilha das Flores (SE);39221;;
2802809;Indiaroba (SE);120232;;
2802908;Itabaiana (SE);870520;;
2803005;Itabaianinha (SE);232623;;
2803104;Itabi (SE);27666;;
2803203;Itaporanga d'Ajuda (SE);523635;;
2803302;Japaratuba (SE);493889;;
2803401;Japoatã (SE);106692;;
2803500;Lagarto (SE);754701;;
2803609;Laranjeiras (SE);712380;;
2803708;Macambira (SE);35420;;
2803807;Malhada dos Bois (SE);28117;;
2803906;Malhador (SE);82186;;
2804003;Maruim (SE);170273;;
2804102;Moita Bonita (SE);70937;;
2804201;Monte Alegre de Sergipe (SE);75411;;
2804300;Muribeca (SE);63427;;
2804409;Neópolis (SE);151248;;
2804458;Nossa Senhora Aparecida (SE);68091;;
2804508;Nossa Senhora da Glória (SE);299772;;
2804607;Nossa Senhora das Dores (SE);158683;;
2804706;Nossa Senhora de Lourdes (SE);33649;;
2804805;Nossa Senhora do Socorro (SE);1976864;;
2804904;Pacatuba (SE);171500;;
2805000;Pedra Mole (SE);23698;;
2805109;Pedrinhas (SE);46813;;
2805208;Pinhão (SE);44582;;
2805307;Pirambu (SE);53808;;
2805406;Poço Redondo (SE);150492;;
2805505;Poço Verde (SE);139432;;
2805604;Porto da Folha (SE);158290;;
2805703;Propriá (SE);302299;;
2805802;Riachão do Dantas (SE);115121;;
2805901;Riachuelo (SE);115348;;
2806008;Ribeirópolis (SE);133435;;
2806107;Rosário do Catete (SE);616807;;
2806206;Salgado (SE);120685;;
2806305;Santa Luzia do Itanhy (SE);125724;;
2806404;Santana do São Francisco (SE);40625;;
2806503;Santa Rosa de Lima (SE);29224;;
2806602;Santo Amaro das Brotas (SE);85352;;
2806701;São Cristóvão (SE);577308;;
2806800;São Domingos (SE);65072;;
2806909;São Francisco (SE);17427;;
2807006;São Miguel do Aleixo (SE);27827;;
2807105;Simão Dias (SE);290973;;
2807204;Siriri (SE);136887;;
2807303;Telha (SE);17964;;
2807402;Tobias Barreto (SE);284139;;
2807501;Tomar do Geru (SE);82571;;
2807600;Umbaúba (SE);167657;;
2900108;Abaíra (BA);34564;;
2900207;Abaré (BA);60849;;
2900306;Acajutiba (BA);84408;;
2900355;Adustina (BA);92381;;
2900405;Água Fria (BA);61826;;
2900504;Érico Cardoso (BA);34198;;
2900603;Aiquara (BA);28474;;
2900702;Alagoinhas (BA);1833519;;
2900801;Alcobaça (BA);179465;;
2900900;Almadina (BA);33088;;
2901007;Amargosa (BA);183454;;
2901106;Amélia Rodrigues (BA);150980;;
2901155;América Dourada (BA);60404;;
2901205;Anagé (BA);84387;;
2901304;Andaraí (BA);52726;;
2901353;Andorinha (BA);138098;;
2901403;Angical (BA);66154;;
2901502;Anguera (BA);28218;;
2901601;Antas (BA);58542;;
2901700;Antônio Cardoso (BA);73784;;
2901809;Antônio Gonçalves (BA);36709;;
2901908;Aporá (BA);61457;;
2901957;Apuarema (BA);36328;;
2902005;Aracatu (BA);50422;;
2902054;Araçás (BA);208756;;
2902104;Araci (BA);224189;;
2902203;Aramari (BA);44526;;
2902252;Arataca (BA);68736;;
2902302;Aratuípe (BA);38000;;
2902401;Aurelino Leal (BA);66279;;
2902500;Baianópolis (BA);66400;;
2902609;Baixa Grande (BA);74142;;
2902658;Banzaê (BA);44561;;
2902708;Barra (BA);174811;;
2902807;Barra da Estiva (BA);100798;;
2902906;Barra do Choça (BA);196340;;
2903003;Barra do Mendes (BA);52025;;
2903102;Barra do Rocha (BA);36819;;
2903201;Barreiras (BA);1921578;;
2903235;Barro Alto (BA);45613;;
2903276;Barrocas (BA);194011;;
2903300;Barro Preto (BA);39488;;
2903409;Belmonte (BA);165245;;
2903508;Belo Campo (BA);59936;;
2903607;Biritinga (BA);62572;;
2903706;Boa Nova (BA);57669;;
2903805;Boa Vista do Tupim (BA);82389;;
2903904;Bom Jesus da Lapa (BA);382897;;
2903953;Bom Jesus da Serra (BA);30880;;
2904001;Boninal (BA);46156;;
2904050;Bonito (BA);114291;;
2904100;Boquira (BA);75193;;
2904209;Botuporã (BA);43743;;
2904308;Brejões (BA);80286;;
2904407;Brejolândia (BA);46726;;
2904506;Brotas de Macaúbas (BA);38167;;
2904605;Brumado (BA);746514;;
2904704;Buerarema (BA);147324;;
2904753;Buritirama (BA);62151;;
2904803;Caatiba (BA);42766;;
2904852;Cabaceiras do Paraguaçu (BA);61946;;
2904902;Cachoeira (BA);247565;;
2905008;Caculé (BA);118071;;
2905107;Caém (BA);43918;;
2905156;Caetanos (BA);36803;;
2905206;Caetité (BA);291471;;
2905305;Cafarnaum (BA);61814;;
2905404;Cairu (BA);1397356;;
2905503;Caldeirão Grande (BA);47914;;
2905602;Camacan (BA);189192;;
2905701;Camaçari (BA);12446027;;
2905800;Camamu (BA);207649;;
2905909;Campo Alegre de Lourdes (BA);107459;;
2906006;Campo Formoso (BA);385851;;
2906105;Canápolis (BA);33422;;
2906204;Canarana (BA);98037;;
2906303;Canavieiras (BA);166785;;
2906402;Candeal (BA);27968;;
2906501;Candeias (BA);2191978;;
2906600;Candiba (BA);49627;;
2906709;Cândido Sales (BA);95369;;
2906808;Cansanção (BA);130394;;
2906824;Canudos (BA);66083;;
2906857;Capela do Alto Alegre (BA);70747;;
2906873;Capim Grosso (BA);146379;;
2906899;Caraíbas (BA);35477;;
2906907;Caravelas (BA);262803;;
2907004;Cardeal da Silva (BA);70003;;
2907103;Carinhanha (BA);97879;;
2907202;Casa Nova (BA);305579;;
2907301;Castro Alves (BA);145480;;
2907400;Catolândia (BA);27761;;
2907509;Catu (BA);415103;;
2907558;Caturama (BA);29344;;
2907608;Central (BA);65543;;
2907707;Chorrochó (BA);42551;;
2907806;Cícero Dantas (BA);140804;;
2907905;Cipó (BA);62261;;
2908002;Coaraci (BA);99420;;
2908101;Cocos (BA);124756;;
2908200;Conceição da Feira (BA);95218;;
2908309;Conceição do Almeida (BA);72723;;
2908408;Conceição do Coité (BA);361912;;
2908507;Conceição do Jacuípe (BA);798233;;
2908606;Conde (BA);101308;;
2908705;Condeúba (BA);66870;;
2908804;Contendas do Sincorá (BA);20670;;
2908903;Coração de Maria (BA);117536;;
2909000;Cordeiros (BA);29108;;
2909109;Coribe (BA);72402;;
2909208;Coronel João Sá (BA);97360;;
2909307;Correntina (BA);571613;;
2909406;Cotegipe (BA);61028;;
2909505;Cravolândia (BA);21190;;
2909604;Crisópolis (BA);88965;;
2909703;Cristópolis (BA);51841;;
2909802;Cruz das Almas (BA);507284;;
2909901;Curaçá (BA);150118;;
2910008;Dário Meira (BA);43670;;
2910057;Dias d'Ávila (BA);2206179;;
2910107;Dom Basílio (BA);129897;;
2910206;Dom Macedo Costa (BA);17237;;
2910305;Elísio Medrado (BA);32228;;
2910404;Encruzilhada (BA);113385;;
2910503;Entre Rios (BA);371221;;
2910602;Esplanada (BA);550518;;
2910701;Euclides da Cunha (BA);424516;;
2910727;Eunápolis (BA);1372266;;
2910750;Fátima (BA);142781;;
2910776;Feira da Mata (BA);30301;;
2910800;Feira de Santana (BA);7179906;;
2910859;Filadélfia (BA);65126;;
2910909;Firmino Alves (BA);23366;;
2911006;Floresta Azul (BA);48193;;
2911105;Formosa do Rio Preto (BA);651069;;
2911204;Gandu (BA);194280;;
2911253;Gavião (BA);20035;;
2911303;Gentio do Ouro (BA);32656;;
2911402;Glória (BA);73385;;
2911501;Gongogi (BA);36751;;
2911600;Governador Mangabeira (BA);101472;;
2911659;Guajeru (BA);37655;;
2911709;Guanambi (BA);544907;;
2911808;Guaratinga (BA);125084;;
2911857;Heliópolis (BA);51703;;
2911907;Iaçu (BA);152397;;
2912004;Ibiassucê (BA);43336;;
2912103;Ibicaraí (BA);111565;;
2912202;Ibicoara (BA);198978;;
2912301;Ibicuí (BA);80963;;
2912400;Ibipeba (BA);63617;;
2912509;Ibipitanga (BA);44456;;
2912608;Ibiquera (BA);18134;;
2912707;Ibirapitanga (BA);118654;;
2912806;Ibirapuã (BA);85170;;
2912905;Ibirataia (BA);121631;;
2913002;Ibitiara (BA);56274;;
2913101;Ibititá (BA);73637;;
2913200;Ibotirama (BA);172600;;
2913309;Ichu (BA);20484;;
2913408;Igaporã (BA);57469;;
2913457;Igrapiúna (BA);105948;;
2913507;Iguaí (BA);99809;;
2913606;Ilhéus (BA);2567197;;
2913705;Inhambupe (BA);263877;;
2913804;Ipecaetá (BA);52462;;
2913903;Ipiaú (BA);265784;;
2914000;Ipirá (BA);300002;;
2914109;Ipupiara (BA);35398;;
2914208;Irajuba (BA);26938;;
2914307;Iramaia (BA);43904;;
2914406;Iraquara (BA);102188;;
2914505;Irará (BA);130201;;
2914604;Irecê (BA);540331;;
2914653;Itabela (BA);204906;;
2914703;Itaberaba (BA);364347;;
2914802;Itabuna (BA);2444702;;
2914901;Itacaré (BA);148602;;
2915007;Itaeté (BA);60719;;
2915106;Itagi (BA);66624;;
2915205;Itagibá (BA);383953;;
2915304;Itagimirim (BA);55132;;
2915353;Itaguaçu da Bahia (BA);49244;;
2915403;Itaju do Colônia (BA);42023;;
2915502;Itajuípe (BA);201140;;
2915601;Itamaraju (BA);491522;;
2915700;Itamari (BA);48888;;
2915809;Itambé (BA);121312;;
2915908;Itanagra (BA);42812;;
2916005;Itanhém (BA);126610;;
2916104;Itaparica (BA);127574;;
2916203;Itapé (BA);46788;;
2916302;Itapebi (BA);298496;;
2916401;Itapetinga (BA);1022600;;
2916500;Itapicuru (BA);205373;;
2916609;Itapitanga (BA);46492;;
2916708;Itaquara (BA);38625;;
2916807;Itarantim (BA);100526;;
2916856;Itatim (BA);135660;;
2916906;Itiruçu (BA);58510;;
2917003;Itiúba (BA);135693;;
2917102;Itororó (BA);92759;;
2917201;Ituaçu (BA);79280;;
2917300;Ituberá (BA);177719;;
2917334;Iuiu (BA);50315;;
2917359;Jaborandi (BA);176829;;
2917409;Jacaraci (BA);49403;;
2917508;Jacobina (BA);666035;;
2917607;Jaguaquara (BA);257037;;
2917706;Jaguarari (BA);491841;;
2917805;Jaguaripe (BA);82385;;
2917904;Jandaíra (BA);109451;;
2918001;Jequié (BA);1255503;;
2918100;Jeremoabo (BA);178176;;
2918209;Jiquiriçá (BA);61849;;
2918308;Jitaúna (BA);66549;;
2918357;João Dourado (BA);107276;;
2918407;Juazeiro (BA);1799721;;
2918456;Jucuruçu (BA);83498;;
2918506;Jussara (BA);51649;;
2918555;Jussari (BA);38738;;
2918605;Jussiape (BA);28766;;
2918704;Lafaiete Coutinho (BA);19609;;
2918753;Lagoa Real (BA);44708;;
2918803;Laje (BA);135631;;
2918902;Lajedão (BA);33220;;
